mp_norm,mp_name_works,state,total_sanctioned_amount,number_of_works,average_work_amount,maximum_work_amount,allocated_amt,allocated_amount,is_allocation_matched,utilization_percentage,remaining_amount,utilization_alert,fund_utilization_score
bag mitali,BAG MITALI,West Bengal,40475237.0,77,525652.4285714285,2455577.0,147000000.0,147000000.0,True,27.534174829931974,106524763.0,NORMAL,15.0
baijayant panda,BAIJAYANT PANDA,Odisha,13600000.0,16,850000.0,1000000.0,147000000.0,147000000.0,True,9.251700680272108,133400000.0,NORMAL,15.0
bajrang manohar sonwane,BAJRANG MANOHAR SONWANE,Maharashtra,31063933.0,32,970747.90625,1000000.0,165899107.19,165899107.19,True,18.724593233900453,134835174.19,NORMAL,15.0
balabhadra majhi,BALABHADRA MAJHI,Odisha,27449652.0,71,386614.8169014084,1000000.0,147413962.11,147413962.11,True,18.62079521308648,119964310.11000001,NORMAL,15.0
balashowry vallabbhaneni,Balashowry Vallabbhaneni,Andhra Pradesh,16283559.0,18,904642.1666666666,3500000.0,147000000.0,147000000.0,True,11.077251020408163,130716441.0,NORMAL,15.0
balram naik porika,BALRAM NAIK PORIKA,Telangana,27168299.0,143,189988.1048951049,999000.0,147000000.0,147000000.0,True,18.48183605442177,119831701.0,NORMAL,15.0
balwant baswant wankhade,BALWANT BASWANT WANKHADE,Maharashtra,69963000.0,65,1076353.8461538462,3000000.0,198293678.0,198293678.0,True,35.28251667206455,128330678.0,NORMAL,15.0
balya mama suresh gopinath mhatre,BALYA MAMA SURESH GOPINATH MHATRE,Maharashtra,13997000.0,17,823352.9411764706,2100000.0,147000000.0,147000000.0,True,9.521768707482993,133003000.0,NORMAL,15.0
bansuri swaraj,Bansuri Swaraj,Delhi,16745965.0,34,492528.3823529412,2879532.0,154306950.0,154306950.0,True,10.852372495211654,137560985.0,NORMAL,15.0
bapi haldar,BAPI HALDAR,West Bengal,50187940.0,115,436416.8695652174,1534778.0,147000000.0,147000000.0,True,34.141455782312924,96812060.0,NORMAL,15.0
basavaraj bommai,BASAVARAJ BOMMAI,Karnataka,30250000.0,52,581730.7692307692,1500000.0,147000000.0,147000000.0,True,20.578231292517007,116750000.0,NORMAL,15.0
