work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,v1_anomaly_score,cost_anomaly_score,delay_anomaly_score,duplicate_score,fund_utilization_score,v1_contrib,cost_contrib,delay_contrib,duplicate_contrib,fund_contrib,base_weighted_sum,max_signal,composite_risk_score,risk_level,risk_reasons
"WS/MP18120/2025-2026/169210-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,NANDED(DISTRICT COLLECTOR NANDED_IDA),AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,Normal/Others,CC Road And Drainage at Ashti Tq. Hadgaon Dist Nanded.,2025-01-27,2026-02-20,4974167.0,389,Physical Inspection,47.1,15.0,100.0,100.0,15.0,18.84,2.25,15.0,15.0,2.25,53.34,100.0,81.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 389 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
"WS/MP18120/2025-2026/169208-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,NANDED(DISTRICT COLLECTOR NANDED_IDA),AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,Normal/Others,CC Road And Drainage at Ashti Tq. Hadgaon Dist Nanded.,2025-01-27,2026-02-20,4978547.0,389,Physical Inspection,47.1,15.0,100.0,100.0,15.0,18.84,2.25,15.0,15.0,2.25,53.34,100.0,81.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 389 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18271/2025-2026/167573-Construction of community centers and community halls,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),Repair and Renovation,Construction for Strengthening and retrofitting structural works including other allied works of Cooch Behar Bhawan 2nd Floor at Ward No.31 of Bidhannagar Municipality Sector 1 Bidhannagar Kolkata West Bengal 700064,2025-01-21,2025-08-22,5000000.0,213,Vendor Identification,88.9,15.0,75.0,91.80422750285058,15.0,35.56,2.25,11.25,13.7706,2.25,65.0806,91.80422750285058,81.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 213 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 91.8%). Requires human verification. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
WS/MP18328/2026-2027/148155-Purchase Books for Library,Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,Bar and Associations,Purchasing of Books for Library  of BAR Assocation Chachiot at Gohar. Work Executed By - BAR Association Chachiot at Gohar District Mandi.,2024-10-18,2026-07-21,50000.0,641,Vendor Identification,83.3,15.0,100.0,0.0,15.0,33.32,2.25,15.0,0.0,2.25,52.82,100.0,81.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 641 days. | 🟠 Category signal: Special entity category 'Bar and Associations'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
WS/MP574/2025-2026/145476-Construction of rooms and halls in school and colleges,Gujarat,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),Bharatsinhji Shankarji Dabhi,PATAN,Trust and Society,Construction of new room of Shree Chamunda Kanya Vidyalaya- Dabhoda managed By Gujarat Kshatriya Thakor Samaj Vikas Manch - Dabhoda,2024-10-04,2025-08-21,500000.0,321,Physical Inspection,54.4,15.0,75.0,100.00000000000009,15.0,21.76,2.25,11.25,15.0,2.25,52.510000000000005,100.00000000000009,81.0,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 321 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification. | 🟠 Category signal: Special entity category 'Trust and Society'.
WS/MP574/2025-2026/145482-Construction of rooms and halls in school and colleges,Gujarat,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),Bharatsinhji Shankarji Dabhi,PATAN,Trust and Society,Construction of new room of Shree Chamunda Kanya Vidyalaya- Dabhoda managed By Gujarat Kshatriya Thakor Samaj Vikas Manch - Dabhoda,2024-10-04,2025-08-21,500000.0,321,Physical Inspection,54.4,15.0,75.0,100.00000000000009,15.0,21.76,2.25,11.25,15.0,2.25,52.510000000000005,100.00000000000009,81.0,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 321 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification. | 🟠 Category signal: Special entity category 'Trust and Society'.
WS/MP574/2025-2026/145479-Construction of rooms and halls in school and colleges,Gujarat,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),Bharatsinhji Shankarji Dabhi,PATAN,Trust and Society,Construction of new room of Shree Chamunda Kanya Vidyalaya- Dabhoda managed By Gujarat Kshatriya Thakor Samaj Vikas Manch - Dabhoda,2024-10-04,2025-08-21,500000.0,321,Physical Inspection,54.4,15.0,75.0,100.00000000000009,15.0,21.76,2.25,11.25,15.0,2.25,52.510000000000005,100.00000000000009,81.0,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 321 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification. | 🟠 Category signal: Special entity category 'Trust and Society'.
WS/MP574/2025-2026/145489-Construction of rooms and halls in school and colleges,Gujarat,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),Bharatsinhji Shankarji Dabhi,PATAN,Trust and Society,Construction of new room of Shree Chamunda Kanya Vidyalaya- Dabhoda managed By Gujarat Kshatriya Thakor Samaj Vikas Manch - Dabhoda,2024-10-04,2025-08-21,500000.0,321,Physical Inspection,54.4,15.0,75.0,100.00000000000009,15.0,21.76,2.25,11.25,15.0,2.25,52.510000000000005,100.00000000000009,81.0,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 321 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification. | 🟠 Category signal: Special entity category 'Trust and Society'.
"WS/MP18345/2026-2027/155578-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KANNAUJ(DISTRICT MAGISTRATE KANNAUJ_IDA),AKHILESH YADAV,KANNAUJ,Repair and Renovation,"Mohalla haji ganj near eidgah colony ,in front of badar masjid to rakkha waale kabristan 150 meter CC road ..7860319378 Syed Rais Ali",2024-11-28,2026-05-25,2225000.0,543,Physical Inspection,81.8,15.0,100.0,0.0,15.0,32.72,2.25,15.0,0.0,2.25,52.22,100.0,80.9,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 543 days. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
WS/MP18309/2026-2027/155237-Construction of footpaths and pedestrian ways,Meghalaya,SOUTH GARO HILLS(DEPUTY COMMISSIONER BAGHMARA_IDA),SALENG A SANGMA,TURA,Normal/Others,Construction of footpaths (earth work),2024-11-26,2026-04-14,200000.0,504,Work partially Completed,44.3,15.0,100.0,100.00000000000003,15.0,17.72,2.25,15.0,15.0,2.25,52.22,100.00000000000003,80.9,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 504 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18066/2026-2027/185904-Construction of public libraries and reading rooms,Haryana,JIND(DEPUTY COMMISSIONER JIND),SELJA,SIRSA(SC),Trust and Society,"Construction of E-Library in Ch. Chhotu Ram Memorial Trust Narwana, Jind",2025-03-24,2026-04-02,1099769.0,374,Sanction,82.0,15.0,100.0,0.0,15.0,32.8,2.25,15.0,0.0,2.25,52.3,100.0,80.9,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 374 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
WS/MP18222/2025-2026/165227-Construction of boundary walls of existing public and community buildings,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,Trust and Society,Construction of boundary walls of existing public and community buildings,2025-01-18,2026-01-23,1000000.0,370,Work partially Completed,81.4,15.0,100.0,0.0,15.0,32.56,2.25,15.0,0.0,2.25,52.06,100.0,80.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 370 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
WS/MP433/2025-2026/178578-Setting up public non-conventional energy plants,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Annpurna Devi,KODARMA,Trust and Society,Installation of 25 KVA Silent Generator set with 1500 RPM at Mandal Welfare Society Bhagwan Lal Saundik Dharamshala situated in ward no 07  sariya  nagar panchayat,2025-03-06,2026-03-09,549000.0,368,Physical Inspection,80.8,15.0,100.0,0.0,15.0,32.32,2.25,15.0,0.0,2.25,51.82,100.0,80.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 368 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
"WS/MP352/2025-2026/135898-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Hibi Eden,ERNAKULAM,Repair and Renovation,"Renovation of EMS Road at Ward 22, Maradu Muncipality",2024-08-16,2025-11-13,2500000.0,454,Sanction,80.4,15.0,100.0,0.0,15.0,32.16,2.25,15.0,0.0,2.25,51.66,100.0,80.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 454 days. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
WS/MP18148/2025-2026/169196-Construction of building for veterinary aid centers,Odisha,KORAPUT(District Collector Koraput_IDA),BALABHADRA MAJHI,NABARANGPUR(ST),Trust and Society,"Construction of Training Centre and bathrooms at Gopal Gou Anusandhan Kendra, Aunli",2025-01-27,2026-03-31,1000000.0,428,Work Completed,80.5,15.0,100.0,0.0,15.0,32.2,2.25,15.0,0.0,2.25,51.7,100.0,80.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 428 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
"WS/MP353/2026-2027/185449-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),Adv Dean Kuriakose,IDUKKI,Repair and Renovation,"Renovation of  Vellaramkunnu- Anakkuzhy  road in ward19th  of  Kumaly gramapanchayathu ,Azhutha Block",2025-03-22,2026-08-18,2000000.0,514,Sanction,78.9,15.0,100.0,0.0,15.0,31.56,2.25,15.0,0.0,2.25,51.06,100.0,80.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 514 days. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
WS/MP18091/2026-2027/175624-Construction of community centers and community halls,Karnataka,MYSURU(DEPUTY COMMISSIONER MYSORE_IDA),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,MYSORE,Normal/Others,Construction of Basaveshwara community hall,2025-02-16,2026-08-13,400000.0,543,Work partially Completed,41.5,15.0,100.0,100.0,15.0,16.6,2.25,15.0,15.0,2.25,51.1,100.0,80.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 543 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
"WS/MP18124/2025-2026/161223-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,Normal/Others,"Construction of  pathways or any other road with drainage system, concreting",2025-01-17,2026-02-16,2500000.0,395,Vendor Identification,41.0,15.0,100.0,100.00000000000003,15.0,16.4,2.25,15.0,15.0,2.25,50.9,100.00000000000003,80.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 395 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18216/2025-2026/169817-Construction of rooms and halls in school and colleges,Uttar Pradesh,FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA),NARESH CHANDRA UTTAM PATEL,FATEHPUR,Trust and Society,SHISHUPAL UTTAM MEMORIAL CONVENT NARAINI MODNARAINI AMAULI KE PRABANDHAK KO BHAVAN NIRMAN KARYA HETU DHANRASHI,2025-01-29,2026-03-07,1000000.0,402,Work partially Completed,78.4,15.0,100.0,0.0,15.0,31.36,2.25,15.0,0.0,2.25,50.86,100.0,80.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 402 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
WS/MP761/2025-2026/159654-Construction of buildings for community cultural activities,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,Construction of Mahila Bhavan,2024-12-18,2026-02-26,495000.0,435,Physical Inspection,40.5,15.0,100.0,100.0,15.0,16.2,2.25,15.0,15.0,2.25,50.7,100.0,80.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 435 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
"WS/  MP644/2025-2026/174740-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,REWA(DISTRICT COLLECTOR REWA_IDA),Janardan Mishra,REWA,Normal/Others,Construction of Grewal Road,2025-02-10,2025-12-24,2444000.0,317,Vendor Identification,49.5,15.0,75.0,100.0,15.0,19.8,2.25,11.25,15.0,2.25,50.55,100.0,80.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 317 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP761/2026-2027/153936-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,Construction of community hall in Padmashali Wada,2024-11-22,2026-04-15,400000.0,509,Work Completed,40.1,15.0,100.0,100.00000000000003,15.0,16.04,2.25,15.0,15.0,2.25,50.54,100.00000000000003,80.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 509 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18309/2025-2026/155238-Construction of footpaths and pedestrian ways,Meghalaya,SOUTH GARO HILLS(DEPUTY COMMISSIONER BAGHMARA_IDA),SALENG A SANGMA,TURA,Normal/Others,Construction of footpaths (earth work),2024-11-26,2025-12-17,200000.0,386,Work partially Completed,39.3,15.0,100.0,100.00000000000003,15.0,15.72,2.25,15.0,15.0,2.25,50.22,100.00000000000003,80.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 386 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18309/2025-2026/155236-Construction of footpaths and pedestrian ways,Meghalaya,SOUTH GARO HILLS(DEPUTY COMMISSIONER BAGHMARA_IDA),SALENG A SANGMA,TURA,Normal/Others,Construction of footpaths (earth work),2024-11-26,2025-12-17,200000.0,386,Work partially Completed,39.3,15.0,100.0,100.00000000000003,15.0,15.72,2.25,15.0,15.0,2.25,50.22,100.00000000000003,80.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 386 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP478/2025-2026/154203-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Uttarakhand,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,Repair and Renovation,"Gram Ghiyakoti me panchyati chauk ka  Renovation work,",2024-11-24,2025-12-16,100000.0,387,Work partially Completed,77.1,15.0,100.0,0.0,15.0,30.84,2.25,15.0,0.0,2.25,50.34,100.0,80.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 387 days. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
"WS/MP18321/2026-2027/163326-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA),SHOBHANABEN MAHENDRASINH BARAIYA,SABARKANTHA,Trust and Society,RCC work towards the  Cooperative JIn of Vadali Taluka,2025-01-06,2026-07-08,500000.0,548,Sanction,76.5,15.0,100.0,0.0,15.0,30.6,2.25,15.0,0.0,2.25,50.1,100.0,80.0,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 548 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
"WS/MP18020/2026-2027/176669-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings",Assam,BONGAIGAON(Deputy Commissioner Bongaigaon_IDA),PHANI BHUSAN CHOUDHURY,BARPETA,Repair and Renovation,"Development and Renovation of Swahid Bedi at Ward no. 21, Bongaigaon",2025-02-25,2026-06-18,800000.0,478,Vendor Identification,74.8,15.0,100.0,0.0,15.0,29.92,2.25,15.0,0.0,2.25,49.42,100.0,79.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 478 days.
WS/MP18081/2026-2027/157212-Construction of community centers and community halls,Karnataka,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),DR.K.SUDHAKAR,CHIKBALLAPUR,Trust and Society,Construction of community centers and community halls savitha Samaja Samudhaya Bhavana Contusion work Bangalore North,2024-12-12,2026-07-02,1000000.0,567,Sanction,74.3,15.0,100.0,0.0,15.0,29.72,2.25,15.0,0.0,2.25,49.22,100.0,79.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 567 days. | 🟠 Category signal: Special entity category 'Trust and Society'.
WS/MP18216/2025-2026/169821-Construction of rooms and halls in school and colleges,Uttar Pradesh,FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA),NARESH CHANDRA UTTAM PATEL,FATEHPUR,Trust and Society,A.P.PUBLIC UCHCHTAR MADHYAMIK VIDYALAY LADIGAWAN KE PRABANDHAK KO BHAVAN NIRMAN KARYA HETU DHANRASHI,2025-01-29,2026-03-07,1000000.0,402,Time Estimation,74.4,15.0,100.0,0.0,15.0,29.76,2.25,15.0,0.0,2.25,49.260000000000005,100.0,79.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 402 days. | 🟠 Category signal: Special entity category 'Trust and Society'.
WS/MP18067/2026-2027/193227-Construction of community centers and community halls,Haryana,SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA),SATPAL BRAHAMCHARI,SONEPAT,Trust and Society,Development work in Jat Vikas Sabha,2025-04-25,2026-05-20,500000.0,390,Physical Inspection,74.5,15.0,100.0,0.0,15.0,29.8,2.25,15.0,0.0,2.25,49.3,100.0,79.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 390 days. | 🟠 Category signal: Special entity category 'Trust and Society'.
WS/MP541/2026-2027/141491-Construction of public libraries and reading rooms,Assam,NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA),Pradyut Bordoloi,NOWGONG,Repair and Renovation,"Repairing of public reading room at Dakhin Solmari near Subahi Muktab, Magurmari GP.",2024-12-02,2026-08-05,200000.0,611,Sanction,74.2,15.0,100.0,0.0,15.0,29.68,2.25,15.0,0.0,2.25,49.18,100.0,79.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 611 days.
WS/MP18393/2025-2026/151985-Construction of rooms and halls in school and colleges,Telangana,SIDDIPET(District Collector Siddipet_IDA),MADHAVANENI RAGHUNANDAN RAO,MEDAK,Repair and Renovation,"Repairs to Social Welfare Residential School(Girls) at Rampur(Village), Thoguta(Mandal).",2024-11-11,2025-11-12,1000000.0,366,Work Completed,73.6,15.0,100.0,0.0,15.0,29.44,2.25,15.0,0.0,2.25,48.94,100.0,79.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 366 days.
WS/MP18118/2025-2026/160504-Construction of rooms and halls in school and colleges,Maharashtra,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),Trust and Society,Building Construction (Class Room) of Gramin Mahila Mahavidyalaya run by Gramin Balika Shiksha Samiti at Village Ranipur Rajmo Post Bindra Bajar Tehsil Mehnagar Dist Azamgarh Uttar Pradesh,2024-12-20,2026-03-30,1000000.0,465,Vendor Identification,73.5,15.0,100.0,0.0,15.0,29.4,2.25,15.0,0.0,2.25,48.9,100.0,79.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 465 days. | 🟠 Category signal: Special entity category 'Trust and Society'.
