work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,anomaly_label,anomaly_score,risk_score,risk_level,anomaly_reason
WS/MP827/2025-2026/152382-Construction of community centers and community halls,West Bengal,PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA),Shatrughan Sinha,ASANSOL,Normal/Others,Construction of New Community Hall.,2024-11-14,2026-02-06,6000000.0,449,Sanction,-1,-0.1235164341630931,87.4,Critical,"Sanction amount (₹ 6,000,000) is 20.0x higher than the typical amount for work category 'Normal/Others'. | Severe sanction delay of 449 days (> 1 year) between recommendation and approval."
WS/MP827/2025-2026/152381-Construction of community centers and community halls,West Bengal,PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA),Shatrughan Sinha,ASANSOL,Normal/Others,Construction of New Community Hall at Rangamati village,2024-11-14,2026-02-06,6000000.0,449,Sanction,-1,-0.1235164341630931,87.4,Critical,"Sanction amount (₹ 6,000,000) is 20.0x higher than the typical amount for work category 'Normal/Others'. | Severe sanction delay of 449 days (> 1 year) between recommendation and approval."
"WS/MP18343/2025-2026/180022-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Andhra Pradesh,"EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)",Daggubati Purandeshwari,RAJAHMUNDRY,Trust and Society,Hospital building in Sri Vivekananda Maharogi Arogya Kendram at Bommuru Village,2025-03-12,2025-07-19,5000000.0,129,Sanction,-1,-0.1197563164914196,85.9,Critical,"Sanction amount (₹ 5,000,000) is 6.2x higher than the typical amount for work category 'Trust and Society'. | Sanction delay (129 days) is 3.2x higher than the state average in Andhra Pradesh. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18064/2025-2026/150852-Construction of community centers and community halls,Haryana,KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA),NAVEEN JINDAL,KURUKSHETRA,Trust and Society,Construction of Boundry wall of Aggarsain Bhawan in Sector 8 Kurukshetra,2024-11-05,2025-09-02,1100000.0,301,Time Estimation,-1,-0.1187735553766075,85.5,Critical,"Sanction amount (₹ 1,100,000) is 3.2x higher than the median sanction amount in Haryana. | Sanction delay (301 days) is 7.7x higher than the typical approval time for authority 'KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP243/2025-2026/141110-Construction of rooms and halls in school and colleges,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,2 storied building for skill development centre,2024-09-15,2025-11-25,11000000.0,436,Work partially Completed,-1,-0.11844415917987838,85.4,Critical,"Sanction amount (₹ 11,000,000) is 36.7x higher than the typical amount for work category 'Normal/Others'. | Severe sanction delay of 436 days (> 1 year) between recommendation and approval."
WS/MP18062/2026-2027/156112-Construction of community centers and community halls,Haryana,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,Trust and Society,construction works in shri guru ravidas chhatrawas ward no 5 barwala,2024-11-30,2026-05-14,498031.0,530,Sanction,-1,-0.11800540418778027,85.2,Critical,Severe sanction delay of 530 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
"WS/MP18096/2025-2026/172806-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Kerala,THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA),SURESH GOPI,THRISSUR,Repair and Renovation,"Infrastructure Facility for Modern Laboratory at the General Hospital, Thrissur.",2025-02-12,2026-01-19,3300001.0,341,Sanction,-1,-0.11565591325749558,84.3,High,"Sanction amount (₹ 3,300,001) is 6.6x higher than the typical amount for work category 'Repair and Renovation'."
WS/MP18148/2025-2026/186567-Construction of rooms and halls in school and colleges,Odisha,NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA),BALABHADRA MAJHI,NABARANGPUR(ST),Trust and Society,"Construction of additional class rooms at Saraswati Sishu Vidya Mandir, Dabugaon",2025-06-20,2026-01-12,1000000.0,206,Sanction,-1,-0.11532648220718533,84.2,High,"Sanction amount (₹ 1,000,000) is 5.0x higher than the median sanction amount in Odisha. | Sanction delay (206 days) is 7.9x higher than the typical approval time for authority 'NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP372/2025-2026/169577-Construction of New Building,Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),Shri Bhartruhari Mahtab,CUTTACK,Repair and Renovation,"CONSTRUCTION OF NEW BUILDING OF THE ODISHA STATE BAR COUNCIL ,HIGHCOURT ANNEX, CHANDINICHOWK, CUTTACK",2025-01-28,2025-12-01,990000.0,307,Sanction,-1,-0.11368110406692145,83.6,High,"Sanction amount (₹ 990,000) is 4.9x higher than the median sanction amount in Odisha. | Sanction delay (307 days) is 7.0x higher than the typical approval time for authority 'Kataka(DISTRICT COLLECTOR CUTTACK_IDA)'."
WS/MP18328/2026-2027/148155-Purchase Books for Library,Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,Bar and Associations,Purchasing of Books for Library  of BAR Assocation Chachiot at Gohar. Work Executed By - BAR Association Chachiot at Gohar District Mandi.,2024-10-18,2026-07-21,50000.0,641,Vendor Identification,-1,-0.11304673445939128,83.3,High,Severe sanction delay of 641 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Bar and Associations' requiring heightened compliance verification.
"WS/MP18277/2024-2025/161441-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),AZAD KIRTI JHA,BARDHAMAN-DURGAPUR,Repair and Renovation,Restroration of Road From Pal Building to Church Via Big Bazar in Ward No 3 Under Burdwan Municipality,2024-12-25,2025-01-21,4197869.0,27,Work Completed,-1,-0.11015981886402149,82.2,High,"Sanction amount (₹ 4,197,869) is 8.4x higher than the typical amount for work category 'Repair and Renovation'."
WS/MP18066/2026-2027/185904-Construction of public libraries and reading rooms,Haryana,JIND(DEPUTY COMMISSIONER JIND),SELJA,SIRSA(SC),Trust and Society,"Construction of E-Library in Ch. Chhotu Ram Memorial Trust Narwana, Jind",2025-03-24,2026-04-02,1099769.0,374,Sanction,-1,-0.10953792398549611,82.0,High,"Sanction amount (₹ 1,099,769) is 3.2x higher than the median sanction amount in Haryana. | Severe sanction delay of 374 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP468/2024-2025/171050-Development of public parks,Uttar Pradesh,JHANSI(DISTRICT MAGISTRAE JHANSI_IDA),Anurag Sharma,JHANSI,Normal/Others,Tourism development works at Mauranipur Sukhnai River bank under CM Toursim development Sahbhagita Yojna.,2025-01-31,2025-03-27,5599000.0,55,Work partially Completed,-1,-0.10935571762109841,81.9,High,"Sanction amount (₹ 5,599,000) is 18.7x higher than the typical amount for work category 'Normal/Others'. | Sanction delay (55 days) is 13.8x higher than the typical approval time for authority 'JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)'."
"WS/MP18345/2026-2027/155578-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KANNAUJ(DISTRICT MAGISTRATE KANNAUJ_IDA),AKHILESH YADAV,KANNAUJ,Repair and Renovation,"Mohalla haji ganj near eidgah colony ,in front of badar masjid to rakkha waale kabristan 150 meter CC road ..7860319378 Syed Rais Ali",2024-11-28,2026-05-25,2225000.0,543,Physical Inspection,-1,-0.10915391120236262,81.8,High,"Sanction amount (₹ 2,225,000) is 4.5x higher than the typical amount for work category 'Repair and Renovation'. | Severe sanction delay of 543 days (> 1 year) between recommendation and approval."
WS/MP18222/2025-2026/165227-Construction of boundary walls of existing public and community buildings,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,Trust and Society,Construction of boundary walls of existing public and community buildings,2025-01-18,2026-01-23,1000000.0,370,Work partially Completed,-1,-0.10796373114650148,81.4,High,"Sanction amount (₹ 1,000,000) is 4.7x higher than the median sanction amount in Uttar Pradesh. | Severe sanction delay of 370 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
"WS/MP18157/2025-2026/197911-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Punjab,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),AMRINDER SINGH RAJA WARRING,LUDHIANA,Trust and Society,"Construction of building of Eye Department, Patient Examining and Care Area in Christian Medical College. Ward no. 78   Distt. Ludhiana",2025-05-08,2026-01-21,1000000.0,258,Sanction,-1,-0.10732344877596511,81.1,High,"Sanction amount (₹ 1,000,000) is 4.2x higher than the median sanction amount in Punjab. | Sanction delay (258 days) is 6.6x higher than the typical approval time for authority 'LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18092/2025-2026/196138-Construction of public toilets and bathrooms,Karnataka,RAICHUR(DEPUTY COMMISSIONER RAICHUR_IDA),G. KUMAR NAIK,RAICHUR(ST),Trust and Society,Construction of HIghtech toilets at musthafa madarasa premises,2025-05-02,2026-01-14,2500000.0,257,Work partially Completed,-1,-0.10656897015062572,80.8,High,"Sanction amount (₹ 2,500,000) is 3.1x higher than the typical amount for work category 'Trust and Society'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP433/2025-2026/178578-Setting up public non-conventional energy plants,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Annpurna Devi,KODARMA,Trust and Society,Installation of 25 KVA Silent Generator set with 1500 RPM at Mandal Welfare Society Bhagwan Lal Saundik Dharamshala situated in ward no 07  sariya  nagar panchayat,2025-03-06,2026-03-09,549000.0,368,Physical Inspection,-1,-0.10634916852708154,80.8,High,Severe sanction delay of 368 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/MP18148/2025-2026/169196-Construction of building for veterinary aid centers,Odisha,KORAPUT(District Collector Koraput_IDA),BALABHADRA MAJHI,NABARANGPUR(ST),Trust and Society,"Construction of Training Centre and bathrooms at Gopal Gou Anusandhan Kendra, Aunli",2025-01-27,2026-03-31,1000000.0,428,Work Completed,-1,-0.10559331953302176,80.5,High,"Sanction amount (₹ 1,000,000) is 5.0x higher than the median sanction amount in Odisha. | Severe sanction delay of 428 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
"WS/MP352/2025-2026/135898-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Hibi Eden,ERNAKULAM,Repair and Renovation,"Renovation of EMS Road at Ward 22, Maradu Muncipality",2024-08-16,2025-11-13,2500000.0,454,Sanction,-1,-0.10534420928712407,80.4,High,"Sanction amount (₹ 2,500,000) is 5.0x higher than the typical amount for work category 'Repair and Renovation'. | Severe sanction delay of 454 days (> 1 year) between recommendation and approval."
WS/MP18051/2025-2026/165882-Construction of rooms and halls in school and colleges,Chhattisgarh,DHAMTARI(DISTRICT COLLECTOR DHAMTARI_IDA),ROOP KUMARI CHOUDHARY,MAHASAMUND,Trust and Society,saraswati shishu mandir me atirikt kashy,2025-01-15,2025-09-11,1000000.0,239,Work partially Completed,-1,-0.10456783437761297,80.1,High,Sanction delay (239 days) is 3.8x higher than the typical approval time for authority 'DHAMTARI(DISTRICT COLLECTOR DHAMTARI_IDA)'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/MP18070/2025-2026/166162-Construction of community centers and community halls,Jammu And Kashmir,ANANTNAG(DEPUTY COMMISSIONER ANANTNAG_IDA),MIAN ALTAF AHMAD,ANANTNAG,Normal/Others,please release one crore and fifty lakh from my MPLADS for the construction of Sarai for the attendents of poor patients at GMC Anantnag phase 1,2025-01-17,2025-06-04,15000000.0,138,Vendor Identification,-1,-0.10272448101133957,79.4,High,"Sanction amount (₹ 15,000,000) is 50.0x higher than the typical amount for work category 'Normal/Others'."
"WS/MP437/2025-2026/178453-Purchase of ambulances (Four, three and two wheelers)",Jharkhand,GARHWA(Deputy Commissioner garhwa_IDA),Vishnu Dayal Ram,PALAMU(SC),Normal/Others,Purchase of Advance Life Support System Ambulance,2025-03-01,2025-10-06,6000000.0,219,Physical Inspection,-1,-0.10236670647236834,79.2,High,"Sanction amount (₹ 6,000,000) is 20.0x higher than the typical amount for work category 'Normal/Others'. | Sanction delay (219 days) is 5.5x higher than the state average in Jharkhand."
WS/MP329/2024-2025/150655-Construction of community centers and community halls,Haryana,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),Shri  Dharambir Singh,BHIWANI MAHENDRAGARH,Trust and Society,"Const. of room/bathroom/Canteen on 2nd floor for Yadav Dharamshala, Ward No.17",2024-11-04,2025-02-21,2096704.0,109,Work partially Completed,-1,-0.10197759296394204,79.1,High,"Sanction amount (₹ 2,096,704) is 2.6x higher than the typical amount for work category 'Trust and Society'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
"WS/MP353/2026-2027/185449-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),Adv Dean Kuriakose,IDUKKI,Repair and Renovation,"Renovation of  Vellaramkunnu- Anakkuzhy  road in ward19th  of  Kumaly gramapanchayathu ,Azhutha Block",2025-03-22,2026-08-18,2000000.0,514,Sanction,-1,-0.10144278807421248,78.9,High,"Sanction amount (₹ 2,000,000) is 4.0x higher than the typical amount for work category 'Repair and Renovation'. | Severe sanction delay of 514 days (> 1 year) between recommendation and approval."
WS/MP18066/2025-2026/177023-Construction of public libraries and reading rooms,Haryana,FATEHABAD(Deputy Commissioner Fatehabad),SELJA,SIRSA(SC),Trust and Society,Construction work of Library Hall in Sant Guru Ravidass Bhawan and Chhatrawas Samiti Near Old Court Fatehabad,2025-02-25,2025-08-20,2500000.0,176,Sanction,-1,-0.10138917125984048,78.8,High,"Sanction amount (₹ 2,500,000) is 3.1x higher than the typical amount for work category 'Trust and Society'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18216/2025-2026/169817-Construction of rooms and halls in school and colleges,Uttar Pradesh,FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA),NARESH CHANDRA UTTAM PATEL,FATEHPUR,Trust and Society,SHISHUPAL UTTAM MEMORIAL CONVENT NARAINI MODNARAINI AMAULI KE PRABANDHAK KO BHAVAN NIRMAN KARYA HETU DHANRASHI,2025-01-29,2026-03-07,1000000.0,402,Work partially Completed,-1,-0.1000979981426976,78.4,High,"Sanction amount (₹ 1,000,000) is 4.7x higher than the median sanction amount in Uttar Pradesh. | Severe sanction delay of 402 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18049/2025-2026/181683-Construction of common work sheds/ common covered sitting area,Chhattisgarh,MUNGELI(Collector Mungeli_IDA),TOKHAN SAHU,BILASPUR,Trust and Society,"SHED NIRMAN, MAHARANA PRATAP SCHOOL JHAPHAL",2025-03-20,2026-01-14,1000000.0,300,Vendor Identification,-1,-0.09934201391519892,78.1,High,Sanction delay (300 days) is 3.8x higher than the typical approval time for authority 'MUNGELI(Collector Mungeli_IDA)'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/MP18067/2025-2026/179182-Construction of community centers and community halls,Haryana,JIND(DEPUTY COMMISSIONER JIND),SATPAL BRAHAMCHARI,SONEPAT,Trust and Society,Development work of Nirakar Jyoti Education Society,2025-03-15,2025-06-06,1900000.0,83,Work partially Completed,-1,-0.09922629803300309,78.0,High,"Sanction amount (₹ 1,900,000) is 5.5x higher than the median sanction amount in Haryana. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18219/2025-2026/198024-Construction of rooms and halls in school and colleges,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,Trust and Society,CHANDRABHAN SINGH CONVENT JUNIOR HIGH SCHOOL MEIN BHAWAN NIRMAN HETU,2025-05-09,2025-11-12,1999000.0,187,Work partially Completed,-1,-0.09883904227679907,77.9,High,"Sanction amount (₹ 1,999,000) is 9.5x higher than the median sanction amount in Uttar Pradesh. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18271/2025-2026/196965-Construction of community centers and community halls,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),Repair and Renovation,Construction for Strengthening and retrofitting structural works including other allied works of Cooch Behar Bhawan 3rd Floor at Ward No.31 of Bidhannagar Municipality Sector 1 Bidhannagar Kolkata West Bengal 700064,2025-05-05,2025-10-09,5000000.0,157,Physical Inspection,-1,-0.0987980293407581,77.9,High,"Sanction amount (₹ 5,000,000) is 10.0x higher than the typical amount for work category 'Repair and Renovation'."
WS/MP18071/2025-2026/197242-Renovation of ponds and lakes,Jharkhand,CHATRA(DEPUTY COMMISSIONER CHATRA_IDA),KALI CHARAN SINGH,CHATRA,Repair and Renovation,Repairing of Baherwa Ahar,2025-05-06,2025-11-14,300000.0,192,Vendor Identification,-1,-0.09832143096088897,77.7,High,Sanction delay (192 days) is 4.8x higher than the state average in Jharkhand.
"WS/MP18386/2024-2025/160114-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Telangana,NALGONDA(DISTRICT COLLECTOR NALGONDA),KUNDURU RAGHUVEER,NALGONDA,Trust and Society,"Procurement and Supply of Phaco Machine to TKV Rangacharyulu & Ranganayakamma Lions Eye Hospital, Miryalaguda",2024-12-19,2024-12-23,3870000.0,4,Physical Inspection,-1,-0.09677565872034322,77.1,High,"Sanction amount (₹ 3,870,000) is 4.8x higher than the typical amount for work category 'Trust and Society'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP352/2025-2026/157751-Construction of community centers and community halls,Kerala,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Hibi Eden,ERNAKULAM,Normal/Others,"Construction of Samskarika Nilayam , ward 4, Kadamakudy Grama Panchayath (SC Category)",2024-12-10,2025-09-22,7896000.0,286,Sanction,-1,-0.09687940293291775,77.1,High,"Sanction amount (₹ 7,896,000) is 26.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP478/2025-2026/154203-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Uttarakhand,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,Repair and Renovation,"Gram Ghiyakoti me panchyati chauk ka  Renovation work,",2024-11-24,2025-12-16,100000.0,387,Work partially Completed,-1,-0.09678989705811603,77.1,High,Severe sanction delay of 387 days (> 1 year) between recommendation and approval.
WS/MP18148/2025-2026/186570-Construction of rooms and halls in school and colleges,Odisha,NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA),BALABHADRA MAJHI,NABARANGPUR(ST),Trust and Society,"Construction of additional class rooms at Saraswati Sishu Vidya Mandir, Papadahandi.",2025-06-20,2026-01-12,500000.0,206,Sanction,-1,-0.09629507366574219,76.9,High,Sanction delay (206 days) is 7.9x higher than the typical approval time for authority 'NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/MP18309/2024-2025/155216-Providing supply pipelines for drinking water,Meghalaya,WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),SALENG A SANGMA,TURA,Normal/Others,For supply of water pipeline and water pump in 50 different villages within Gambegre Block.,2024-11-26,2025-03-17,10000000.0,111,Work partially Completed,-1,-0.09640768021939827,76.9,High,"Sanction amount (₹ 10,000,000) is 33.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP18066/2025-2026/196404-Construction of community centers and community halls,Haryana,FATEHABAD(Deputy Commissioner Fatehabad),SELJA,SIRSA(SC),Trust and Society,"Construction of Hall in Shri Guru Ravidas Samaj Sewa Samiti, Shri Guru Ravidass Dharmshala, Purana Bazar, Bhuna, District Fatehabad.",2025-05-03,2025-11-12,2100000.0,193,Sanction,-1,-0.09630230378731541,76.9,High,"Sanction amount (₹ 2,100,000) is 2.6x higher than the typical amount for work category 'Trust and Society'. | Sanction delay (193 days) is 2.7x higher than the state average in Haryana. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18099/2025-2026/176443-Construction of community centers and community halls,Madhya Pradesh,BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),ALOK SHARMA,BHOPAL,Trust and Society,construction of Community hall in Plot number 63 64,2025-02-19,2025-04-17,5000000.0,57,Vendor Identification,-1,-0.09609300420041844,76.8,High,"Sanction amount (₹ 5,000,000) is 6.2x higher than the typical amount for work category 'Trust and Society'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18093/2025-2026/180351-Construction of rooms and halls in school and colleges,Karnataka,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,Trust and Society,Continued construction work of School building at Yalerampura,2025-03-08,2025-08-30,2000000.0,175,Work partially Completed,-1,-0.09587585439213975,76.7,High,"Sanction amount (₹ 2,000,000) is 4.0x higher than the median sanction amount in Karnataka. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
