project_id,payment_sequence,payment_date,payment_amount,progress_percent,sanction_amount,data_source
"WS/MP577/2025-2026/133556-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2026-02-19,98278.8,100,245697.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133557-Construction of public irrigation facilities,1,2026-02-16,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133557-Construction of public irrigation facilities,2,2026-04-02,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133558-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-11-21,73709.1,30,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133558-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-05,98278.8,100,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133559-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-12-01,73529.4,30,245098.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133559-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-15,98039.2,100,245098.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133560-Construction of public irrigation facilities,1,2025-12-01,73747.8,30,245826.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133560-Construction of public irrigation facilities,2,2026-01-15,73747.8,60,245826.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133560-Construction of public irrigation facilities,3,2026-03-01,98330.4,100,245826.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133561-Construction of public irrigation facilities,1,2025-12-01,73747.8,30,245826.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133561-Construction of public irrigation facilities,2,2026-01-15,98330.4,100,245826.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133562-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-11-21,73709.1,30,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133562-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-05,98278.8,100,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133563-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-11-21,73709.1,30,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133563-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-05,98278.8,100,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133564-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2026-02-16,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133564-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-04-02,75000.0,60,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133564-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2026-05-17,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133565-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-05-26,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133565-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-07-10,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133566-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-11-21,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133566-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-05,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133567-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-12-01,73529.4,30,245098.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133567-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-15,73529.4,60,245098.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133567-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2026-03-01,98039.2,100,245098.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133568-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-11-21,73709.1,30,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133568-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-05,73709.1,60,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133568-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2026-02-19,98278.8,100,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133569-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-05-26,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133569-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-07-10,75000.0,60,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133569-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2025-08-24,100000.0,100,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133570-Providing drains and gutters for public drainage,1,2025-05-26,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133570-Providing drains and gutters for public drainage,2,2025-07-10,75000.0,60,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133570-Providing drains and gutters for public drainage,3,2025-08-24,100000.0,100,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133571-Providing drains and gutters for public drainage,1,2025-05-26,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133571-Providing drains and gutters for public drainage,2,2025-07-10,75000.0,60,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133571-Providing drains and gutters for public drainage,3,2025-08-24,100000.0,100,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133572-Construction of public irrigation facilities,1,2025-12-01,73747.8,30,245826.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133572-Construction of public irrigation facilities,2,2026-01-15,73747.8,60,245826.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133572-Construction of public irrigation facilities,3,2026-03-01,98330.4,100,245826.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133573-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-10-12,73709.1,30,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133573-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-10-17,73709.1,60,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133573-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2025-10-22,147418.2,40,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133574-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-11-21,73709.1,30,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133574-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-05,98278.8,100,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133575-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-05-11,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133575-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-25,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133576-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-05-11,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133576-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-25,75000.0,60,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133576-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2025-08-09,100000.0,100,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133577-Construction of public irrigation facilities,1,2025-12-01,73747.8,30,245826.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133577-Construction of public irrigation facilities,2,2026-01-15,98330.4,100,245826.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133578-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-05-11,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133578-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-25,75000.0,60,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133578-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2025-08-09,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133579-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-11-18,74248.8,30,247496.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133579-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-02,74248.8,60,247496.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133579-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2026-02-16,98998.4,100,247496.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133580-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-11-18,74248.8,30,247496.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133580-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-02,74248.8,60,247496.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133580-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2026-02-16,98998.4,100,247496.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133581-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2026-02-26,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133581-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-04-12,100000.0,100,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133582-Construction of public irrigation facilities,1,2026-02-26,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133582-Construction of public irrigation facilities,2,2026-04-12,100000.0,100,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133583-Construction of public irrigation facilities,1,2026-02-26,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133583-Construction of public irrigation facilities,2,2026-04-12,75000.0,60,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133583-Construction of public irrigation facilities,3,2026-05-27,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133584-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-05-11,74787.3,30,249291.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133584-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-25,74787.3,60,249291.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133584-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2025-08-09,99716.4,100,249291.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133585-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-05-11,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133585-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-25,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133586-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-05-11,74787.3,30,249291.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133586-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-25,74787.3,60,249291.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133586-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2025-08-09,99716.4,100,249291.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133587-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-11-18,74248.8,30,247496.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133587-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-02,98998.4,100,247496.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133588-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-05-11,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133588-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-25,100000.0,100,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133589-Construction of public irrigation facilities,1,2026-02-26,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133589-Construction of public irrigation facilities,2,2026-04-12,75000.0,60,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133589-Construction of public irrigation facilities,3,2026-05-27,100000.0,100,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133590-Construction of public irrigation facilities,1,2026-02-26,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133590-Construction of public irrigation facilities,2,2026-04-12,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133591-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2026-02-26,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133591-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-04-12,75000.0,60,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133591-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2026-05-27,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133592-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-05-11,74787.3,30,249291.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133592-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-25,99716.4,100,249291.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133593-Construction of public irrigation facilities,1,2026-01-07,105000.0,30,350000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133593-Construction of public irrigation facilities,2,2026-01-12,105000.0,60,350000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133593-Construction of public irrigation facilities,3,2026-01-17,210000.0,40,350000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133594-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2026-02-26,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133594-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-04-12,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133595-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-11-18,74248.8,30,247496.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133595-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-02,98998.4,100,247496.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133596-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2026-02-26,90000.0,30,300000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133596-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-04-12,90000.0,60,300000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133596-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2026-05-27,120000.0,100,300000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133597-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-05-11,74787.3,30,249291.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133597-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-25,99716.4,100,249291.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133598-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-05-11,74787.3,30,249291.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133598-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-25,99716.4,100,249291.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133599-Construction of public irrigation facilities,1,2026-02-26,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133599-Construction of public irrigation facilities,2,2026-04-12,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133600-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-05-11,74787.3,30,249291.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133600-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-25,99716.4,100,249291.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133601-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-05-11,74787.3,30,249291.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133601-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-25,99716.4,100,249291.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133602-Construction of public irrigation facilities,1,2026-02-26,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133602-Construction of public irrigation facilities,2,2026-04-12,75000.0,60,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133602-Construction of public irrigation facilities,3,2026-05-27,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133603-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2026-02-26,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133603-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-04-12,100000.0,100,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133604-Construction of public irrigation facilities,1,2026-02-16,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133604-Construction of public irrigation facilities,2,2026-04-02,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133605-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",1,2026-02-16,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133605-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",2,2026-04-02,75000.0,60,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133605-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",3,2026-05-17,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133606-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-04-30,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133606-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-14,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133607-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-04-30,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133607-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-14,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133608-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-04-30,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133608-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-14,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133609-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",1,2026-02-16,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133609-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",2,2026-04-02,100000.0,100,250000.0,DEMO / SIMULATED DATA
